security,sector
AAPL,Information Technology
ABBV,Health Care
ABT,Health Care
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADP,Industrials
AMAT,Information Technology
AMD,Information Technology
AMGN,Health Care
AMT,Real Estate
AMZN,Consumer Discretionary
ANET,Information Technology
AVGO,Information Technology
AXP,Financials
BA,Industrials
BAC,Financials
BLK,Financials
BSX,Health Care
BX,Financials
C,Financials
CAT,Industrials
CB,Financials
CI,Health Care
CMCSA,Communication
COP,Energy
COST,Consumer Staples
CRM,Information Technology
CSCO,Information Technology
CVX,Energy
DE,Industrials
DHR,Health Care
DIS,Communication
ELV,Health Care
ETN,Industrials
GE,Industrials
GILD,Health Care
GOOG,Communication
GS,Financials
HD,Consumer Discretionary
HON,Industrials
IBM,Information Technology
INTC,Information Technology
INTU,Information Technology
ISRG,Health Care
JNJ,Health Care
JPM,Financials
KLAC,Information Technology
KO,Consumer Staples
LIN,Materials
LLY,Health Care
LMT,Industrials
LOW,Consumer Discretionary
LRCX,Information Technology
MA,Financials
MCD,Consumer Discretionary
MDT,Health Care
META,Communication
MMC,Financials
MRK,Health Care
MS,Financials
MSFT,Information Technology
MU,Information Technology
NEE,Utilities
NFLX,Communication
NKE,Consumer Discretionary
NOW,Information Technology
NVDA,Information Technology
ORCL,Information Technology
PANW,Information Technology
PEP,Consumer Staples
PFE,Health Care
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PM,Consumer Staples
QCOM,Information Technology
REGN,Health Care
RTX,Industrials
SBUX,Consumer Discretionary
SCHW,Financials
SNPS,Information Technology
SPGI,Financials
SYK,Health Care
T,Communication
TJX,Consumer Discretionary
TMO,Health Care
TMUS,Communication
TSLA,Consumer Discretionary
TXN,Information Technology
UBER,Industrials
UNH,Health Care
UNP,Industrials
UPS,Industrials
V,Financials
VRTX,Health Care
VZ,Communication
WFC,Financials
WMT,Consumer Staples
XOM,Energy
